# DURATION     TID     FUNCTION
            [ 63010] | main() {
   3.055 us [ 63010] |   strcmp();
   0.123 us [ 63010] |   strcmp();
  10.733 us [ 63010] |   open();
   1.350 us [ 63010] |   fstat();
   0.826 us [ 63010] |   calloc();
   5.284 us [ 63010] |   fuse_opt_add_arg();
   0.260 us [ 63010] |   fuse_opt_add_arg();
   0.492 us [ 63010] |   fuse_opt_add_arg();
   0.218 us [ 63010] |   fuse_opt_add_arg();
   0.271 us [ 63010] |   fuse_opt_add_arg();
   0.141 us [ 63010] |   fuse_opt_add_arg();
   0.309 us [ 63010] |   fuse_opt_add_arg();
   0.421 us [ 63010] |   fuse_opt_add_arg();
   0.252 us [ 63010] |   fuse_opt_add_arg();
   0.115 us [ 63010] |   fuse_opt_add_arg();
            [ 63010] |   fuse_main_fn() {
            [ 63010] |     fuse_main_real_versioned() {
   1.518 ms [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_init_cb() {
            [ 63010] |         get_fs_context() {
   7.289 us [ 63010] |           fuse_get_context();
   8.877 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_initialize() {
            [ 63010] |           get_fs_context() {
   0.054 us [ 63010] |             fuse_get_context();
   0.221 us [ 63010] |           } /* get_fs_context */
   1.239 us [ 63010] |           lseek();
            [ 63010] |           sb_load() {
            [ 63010] |             disk_read() {
   0.151 us [ 63010] |               lseek();
            [ 63010] |               read() {
  24.550 ms [ 63010] |                 /* linux:schedule */
  24.590 ms [ 63010] |               } /* read */
  24.591 ms [ 63010] |             } /* disk_read */
  24.592 ms [ 63010] |           } /* sb_load */
            [ 63010] |           sb_format() {
   4.059 us [ 63010] |             memset();
   4.796 us [ 63010] |           } /* sb_format */
            [ 63010] |           sb_sync() {
            [ 63010] |             disk_write() {
   2.490 us [ 63010] |               lseek();
            [ 63010] |               write() {
  30.921 us [ 63010] |                 /* linux:schedule */
 605.023 us [ 63010] |                 /* linux:schedule */
 729.583 us [ 63010] |               } /* write */
 733.452 us [ 63010] |             } /* disk_write */
 733.968 us [ 63010] |           } /* sb_sync */
  31.652 us [ 63010] |           calloc();
   1.018 us [ 63010] |           calloc();
            [ 63010] |           bitmap_sync() {
            [ 63010] |             disk_write() {
   0.735 us [ 63010] |               lseek();
            [ 63010] |               write() {
  89.527 us [ 63010] |                 /* linux:schedule */
  12.338 us [ 63010] |                 /* linux:schedule (pre-empted) */
 662.286 us [ 63010] |                 /* linux:schedule */
   1.038 ms [ 63010] |               } /* write */
   1.040 ms [ 63010] |             } /* disk_write */
   1.041 ms [ 63010] |           } /* bitmap_sync */
            [ 63010] |           bitmap_sync() {
            [ 63010] |             disk_write() {
   1.458 us [ 63010] |               lseek();
            [ 63010] |               write() {
  50.120 us [ 63010] |                 /* linux:schedule */
  15.657 us [ 63010] |                 /* linux:schedule */
   9.258 us [ 63010] |                 /* linux:schedule (pre-empted) */
 353.951 us [ 63010] |                 /* linux:schedule */
 473.647 us [ 63010] |               } /* write */
 476.789 us [ 63010] |             } /* disk_write */
 477.302 us [ 63010] |           } /* bitmap_sync */
   0.339 us [ 63010] |           memset();
   0.255 us [ 63010] |           fuse_get_context();
   0.171 us [ 63010] |           fuse_get_context();
            [ 63010] |           fs_init_inode() {
   0.203 us [ 63010] |             memset();
   3.141 us [ 63010] |             time();
   5.199 us [ 63010] |           } /* fs_init_inode */
   0.319 us [ 63010] |           alloc_block();
            [ 63010] |           write_block() {
            [ 63010] |             disk_write() {
   0.802 us [ 63010] |               lseek();
            [ 63010] |               write() {
  16.279 us [ 63010] |                 /* linux:schedule */
   9.219 us [ 63010] |                 /* linux:schedule (pre-empted) */
 372.887 us [ 63010] |                 /* linux:schedule */
 439.837 us [ 63010] |               } /* write */
 442.168 us [ 63010] |             } /* disk_write */
 443.319 us [ 63010] |           } /* write_block */
            [ 63010] |           inode_sync() {
            [ 63010] |             disk_write() {
   1.518 us [ 63010] |               lseek();
            [ 63010] |               write() {
  25.706 us [ 63010] |                 /* linux:schedule */
  14.580 us [ 63010] |                 /* linux:schedule */
   8.782 us [ 63010] |                 /* linux:schedule (pre-empted) */
 350.416 us [ 63010] |                 /* linux:schedule */
 433.353 us [ 63010] |               } /* write */
 436.222 us [ 63010] |             } /* disk_write */
 437.199 us [ 63010] |           } /* inode_sync */
            [ 63010] |           bitmap_sync() {
            [ 63010] |             disk_write() {
   0.677 us [ 63010] |               lseek();
            [ 63010] |               write() {
  89.765 us [ 63010] |                 /* linux:schedule */
   9.366 us [ 63010] |                 /* linux:schedule (pre-empted) */
 460.483 us [ 63010] |                 /* linux:schedule */
 709.429 us [ 63010] |               } /* write */
 710.888 us [ 63010] |             } /* disk_write */
 711.315 us [ 63010] |           } /* bitmap_sync */
            [ 63010] |           bitmap_sync() {
            [ 63010] |             disk_write() {
   0.732 us [ 63010] |               lseek();
            [ 63010] |               write() {
  17.952 us [ 63010] |                 /* linux:schedule */
   8.858 us [ 63010] |                 /* linux:schedule (pre-empted) */
 368.982 us [ 63010] |                 /* linux:schedule */
 425.059 us [ 63010] |               } /* write */
 426.973 us [ 63010] |             } /* disk_write */
 427.656 us [ 63010] |           } /* bitmap_sync */
            [ 63010] |           sb_sync() {
            [ 63010] |             disk_write() {
   0.990 us [ 63010] |               lseek();
            [ 63010] |               write() {
  37.791 us [ 63010] |                 /* linux:schedule */
   9.155 us [ 63010] |                 /* linux:schedule (pre-empted) */
 363.328 us [ 63010] |                 /* linux:schedule */
 468.430 us [ 63010] |               } /* write */
 470.652 us [ 63010] |             } /* disk_write */
 471.479 us [ 63010] |           } /* sb_sync */
  29.402 ms [ 63010] |         } /* fs_initialize */
  29.412 ms [ 63010] |       } /* sfuse_init_cb */
 165.220 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_access_cb() {
            [ 63010] |         get_fs_context() {
   0.234 us [ 63010] |           fuse_get_context();
   0.804 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   1.138 us [ 63010] |           strcmp();
   1.776 us [ 63010] |         } /* fs_resolve_path */
   3.341 us [ 63010] |       } /* sfuse_access_cb */
 326.706 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.235 us [ 63010] |           fuse_get_context();
   0.714 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.232 us [ 63010] |           strcmp();
   2.825 us [ 63010] |           strdup();
  20.760 us [ 63010] |           strtok();
  27.412 us [ 63010] |           malloc();
            [ 63010] |           dir_load() {
            [ 63010] |             inode_load() {
            [ 63010] |               disk_read() {
   1.188 us [ 63010] |                 lseek();
   3.603 us [ 63010] |                 read();
   5.907 us [ 63010] |               } /* disk_read */
   6.518 us [ 63010] |             } /* inode_load */
            [ 63010] |             read_block() {
            [ 63010] |               disk_read() {
   0.723 us [ 63010] |                 lseek();
   8.352 us [ 63010] |                 read();
   9.850 us [ 63010] |               } /* disk_read */
  10.339 us [ 63010] |             } /* read_block */
  18.489 us [ 63010] |           } /* dir_load */
   1.556 us [ 63010] |           strcmp();
   0.218 us [ 63010] |           strcmp();
  26.590 us [ 63010] |           free();
   0.265 us [ 63010] |           free();
 130.107 us [ 63010] |         } /* fs_resolve_path */
 131.546 us [ 63010] |       } /* sfuse_getattr_cb */
 172.735 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.232 us [ 63010] |           fuse_get_context();
   0.818 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.200 us [ 63010] |           strcmp();
   0.321 us [ 63010] |           strdup();
   0.491 us [ 63010] |           strtok();
   0.901 us [ 63010] |           malloc();
            [ 63010] |           dir_load() {
            [ 63010] |             inode_load() {
            [ 63010] |               disk_read() {
   1.020 us [ 63010] |                 lseek();
   1.615 us [ 63010] |                 read();
   3.453 us [ 63010] |               } /* disk_read */
   3.788 us [ 63010] |             } /* inode_load */
            [ 63010] |             read_block() {
            [ 63010] |               disk_read() {
   0.622 us [ 63010] |                 lseek();
   1.661 us [ 63010] |                 read();
   2.945 us [ 63010] |               } /* disk_read */
   3.302 us [ 63010] |             } /* read_block */
   7.845 us [ 63010] |           } /* dir_load */
   0.340 us [ 63010] |           strcmp();
   0.221 us [ 63010] |           strcmp();
   0.549 us [ 63010] |           free();
   0.235 us [ 63010] |           free();
  15.442 us [ 63010] |         } /* fs_resolve_path */
  16.933 us [ 63010] |       } /* sfuse_getattr_cb */
  72.012 ms [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.409 us [ 63010] |           fuse_get_context();
   2.808 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.651 us [ 63010] |           strcmp();
   0.319 us [ 63010] |           strdup();
   1.324 us [ 63010] |           strtok();
   0.787 us [ 63010] |           malloc();
            [ 63010] |           dir_load() {
            [ 63010] |             inode_load() {
            [ 63010] |               disk_read() {
   1.681 us [ 63010] |                 lseek();
   5.173 us [ 63010] |                 read();
  31.076 us [ 63010] |               } /* disk_read */
  31.793 us [ 63010] |             } /* inode_load */
            [ 63010] |             read_block() {
            [ 63010] |               disk_read() {
   0.548 us [ 63010] |                 lseek();
   2.977 us [ 63010] |                 read();
   4.235 us [ 63010] |               } /* disk_read */
   4.579 us [ 63010] |             } /* read_block */
  37.350 us [ 63010] |           } /* dir_load */
   0.435 us [ 63010] |           strcmp();
   0.172 us [ 63010] |           strcmp();
   0.603 us [ 63010] |           free();
   0.184 us [ 63010] |           free();
  46.307 us [ 63010] |         } /* fs_resolve_path */
  49.818 us [ 63010] |       } /* sfuse_getattr_cb */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.150 us [ 63010] |           fuse_get_context();
   0.511 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.169 us [ 63010] |           strcmp();
   0.562 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.517 us [ 63010] |             lseek();
   1.042 us [ 63010] |             read();
   2.169 us [ 63010] |           } /* disk_read */
   2.421 us [ 63010] |         } /* inode_load */
   0.216 us [ 63010] |         memset();
   4.718 us [ 63010] |       } /* sfuse_getattr_cb */
  73.191 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_readdir_cb() {
            [ 63010] |         get_fs_context() {
   0.200 us [ 63010] |           fuse_get_context();
   0.691 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.200 us [ 63010] |           strcmp();
   0.567 us [ 63010] |         } /* fs_resolve_path */
            [ 63010] |         inode_load() {
            [ 63010] |           disk_read() {
   0.547 us [ 63010] |             lseek();
   1.184 us [ 63010] |             read();
   2.306 us [ 63010] |           } /* disk_read */
   2.683 us [ 63010] |         } /* inode_load */
            [ 63010] |         read_block() {
            [ 63010] |           disk_read() {
   0.528 us [ 63010] |             lseek();
   1.567 us [ 63010] |             read();
   2.803 us [ 63010] |           } /* disk_read */
   3.083 us [ 63010] |         } /* read_block */
   0.143 us [ 63010] |         strcmp();
   0.316 us [ 63010] |         strcmp();
   0.178 us [ 63010] |         strcmp();
  16.775 us [ 63010] |       } /* sfuse_readdir_cb */
  27.869 us [ 63010] |       /* linux:schedule */
            [ 63010] |       sfuse_getattr_cb() {
            [ 63010] |         get_fs_context() {
   0.138 us [ 63010] |           fuse_get_context();
   0.477 us [ 63010] |         } /* get_fs_context */
            [ 63010] |         fs_resolve_path() {
   0.144 us [ 63010] |           strcmp();
   0.164 us [ 63010] |           strdup();
   0.307 us [ 63010] |           strtok();
   0.315 us [ 63010] |           malloc();
            [ 63010] |           dir_load() {
            [ 63010] |             inode_load() {
            [ 63010] |               disk_read() {
   0.497 us [ 63010] |                 lseek();
   0.964 us [ 63010] |                 read();
